"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13"
122,-8.521558,1.977243,-0.105288,136.0489,1.99546,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
202,-6.110493,1.81306,0,0,1.083884,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
