"Species","B1","B2","B3","B4","B5"
17,-0.8301,0.00232,13.1132,0.00182,27900
19,-0.8301,0.00232,13.1132,0.00182,27900
93,-0.8301,0.00232,13.1132,0.00182,27900
108,-1.04578,0.002798,2.836222,0.002256,7000
122,-1.032297,0.002297,-2.257724,0.002407,6700
202,-0.8301,0.00232,13.1132,0.00182,27900
746,-0.9076,0.002195,3.3075,0.001837,11800
