"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
19,-2.502332,1.864963,1.004903,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
94,-2.539944,1.841226,1.034051,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
202,-2.734532,1.739418,1.166033,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
242,-2.464614,1.701993,1.067038,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
263,-2.571619,1.96971,0.977003,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
