Region
"AZ_N_NM_N"
"AZ_S_NM_S"
"CA"
"CA_MC"
"CO_E_WY_E"
"CO_W_WY_W"
"ID_MTW"
"MT_E"
"NCCS"
"NCLS"
"NCPS"
"NE"
"NV"
"OR_E"
"OR_JJ"
"OR_W"
"UT_NE"
"UT_SW"
"WA_CF"
"WA_E"
"WA_W"
