"Species","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11"
17,-6.7013,1.7022,1.2979,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
98,-6.7013,1.7022,1.2979,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
202,-6.5193,1.7151,1.2274,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
211,-6.2597,1.9967,0.9642,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
263,-6.7013,1.7022,1.2979,0.912733,1.033,1.382937,-4.015292,0.005454,0.087266,-0.174533,0.005454154
